duration,pdays,previous,campaign,balance,job,education,y
261,-1,0,1,2143,management,tertiary,0
151,-1,0,1,29,technician,secondary,0
76,-1,0,1,2,entrepreneur,secondary,0
92,-1,0,1,1506,blue,tertiary,0
198,-1,0,1,1,self,tertiary,0
139,-1,0,1,231,management,tertiary,0
217,-1,0,1,447,management,tertiary,0
380,-1,0,1,2,entrepreneur,tertiary,0
50,-1,0,1,121,retired,primary,0
55,-1,0,1,593,technician,secondary,0
222,-1,0,1,270,admin,secondary,0
137,-1,0,1,390,admin,secondary,0
517,-1,0,1,6,technician,secondary,0
71,-1,0,1,71,technician,tertiary,0
174,-1,0,1,162,services,secondary,0
353,-1,0,1,229,retired,primary,0
98,-1,0,1,13,admin,tertiary,0
38,-1,0,1,52,blue,primary,0
219,-1,0,1,60,retired,primary,0
54,-1,0,1,0,services,secondary,0
262,-1,0,1,723,blue,secondary,0
164,-1,0,1,779,management,tertiary,0
160,-1,0,1,23,blue,primary,0
342,-1,0,1,50,services,secondary,0
181,-1,0,1,0,retired,primary,0
172,-1,0,1,-372,admin,secondary,0
296,-1,0,1,255,management,tertiary,0
127,-1,0,1,113,entrepreneur,secondary,0
255,-1,0,2,-246,management,secondary,0
348,-1,0,1,265,technician,secondary,0
225,-1,0,1,839,technician,secondary,0
230,-1,0,1,378,management,tertiary,0
208,-1,0,1,39,admin,secondary,0
226,-1,0,1,0,blue,secondary,0
336,-1,0,1,10635,management,tertiary,0
242,-1,0,1,63,technician,secondary,0
365,-1,0,1,-7,blue,secondary,0
1666,-1,0,1,-3,technician,secondary,0
577,-1,0,1,506,admin,secondary,0
137,-1,0,1,0,admin,secondary,0
160,-1,0,1,2586,services,secondary,0
180,-1,0,2,49,management,secondary,0
22,-1,0,1,104,blue,tertiary,0
1492,-1,0,1,529,retired,secondary,0
616,-1,0,1,96,retired,tertiary,0
242,-1,0,1,-171,admin,primary,0
355,-1,0,1,-364,self,tertiary,0
225,-1,0,2,0,technician,secondary,0
160,-1,0,1,0,technician,secondary,0
363,-1,0,1,0,management,tertiary,0
266,-1,0,1,1291,blue,secondary,0
253,-1,0,1,-244,management,tertiary,0
