job,education,y,duration_norm,pdays_norm,previous_norm,campaign_norm,balance_norm
"management","tertiary",0,0.253215,0.000000,0.000000,0.000000,0.542736
"technician","secondary",0,0.146496,0.000000,0.000000,0.000000,0.427018
"entrepreneur","secondary",0,0.073733,0.000000,0.000000,0.000000,0.425540
"blue","tertiary",0,0.089256,0.000000,0.000000,0.000000,0.507867
"self","tertiary",0,0.192094,0.000000,0.000000,0.000000,0.425486
"management","tertiary",0,0.134854,0.000000,0.000000,0.000000,0.438076
"management","tertiary",0,0.210527,0.000000,0.000000,0.000000,0.449899
"entrepreneur","tertiary",0,0.368665,0.000000,0.000000,0.000000,0.425540
"retired","primary",0,0.048509,0.000000,0.000000,0.000000,0.432054
"technician","secondary",0,0.053359,0.000000,0.000000,0.000000,0.457891
"admin","secondary",0,0.215378,0.000000,0.000000,0.000000,0.440210
"admin","secondary",0,0.132913,0.000000,0.000000,0.000000,0.446779
"technician","secondary",0,0.501578,0.000000,0.000000,0.000000,0.425759
"technician","tertiary",0,0.068882,0.000000,0.000000,0.000000,0.429317
"services","secondary",0,0.168810,0.000000,0.000000,0.000000,0.434299
"retired","primary",0,0.342470,0.000000,0.000000,0.000000,0.437966
"admin","tertiary",0,0.095077,0.000000,0.000000,0.000000,0.426143
"blue","primary",0,0.036866,0.000000,0.000000,0.000000,0.428277
"retired","primary",0,0.212467,0.000000,0.000000,0.000000,0.428715
"services","secondary",0,0.052389,0.000000,0.000000,0.000000,0.425431
"blue","secondary",0,0.254185,0.000000,0.000000,0.000000,0.465007
"management","tertiary",0,0.159108,0.000000,0.000000,0.000000,0.468072
"blue","primary",0,0.155227,0.000000,0.000000,0.000000,0.426690
"services","secondary",0,0.331798,0.000000,0.000000,0.000000,0.428168
"retired","primary",0,0.175601,0.000000,0.000000,0.000000,0.425431
"admin","secondary",0,0.166869,0.000000,0.000000,0.000000,0.405068
"management","tertiary",0,0.287171,0.000000,0.000000,0.000000,0.439389
"entrepreneur","secondary",0,0.123212,0.000000,0.000000,0.000000,0.431616
"management","secondary",0,0.247394,0.000000,0.000000,0.090433,0.411965
"technician","secondary",0,0.337619,0.000000,0.000000,0.000000,0.439937
"technician","secondary",0,0.218288,0.000000,0.000000,0.000000,0.471357
"management","tertiary",0,0.223139,0.000000,0.000000,0.000000,0.446122
"admin","secondary",0,0.201795,0.000000,0.000000,0.000000,0.427566
"blue","secondary",0,0.219259,0.000000,0.000000,0.000000,0.425431
"management","tertiary",0,0.325977,0.000000,0.000000,0.000000,1.000000
"technician","secondary",0,0.234781,0.000000,0.000000,0.000000,0.428879
"blue","secondary",0,0.354112,0.000000,0.000000,0.000000,0.425048
"technician","secondary",0,1.000000,0.000000,0.000000,0.000000,0.425267
"admin","secondary",0,0.559788,0.000000,0.000000,0.000000,0.453129
"admin","secondary",0,0.132913,0.000000,0.000000,0.000000,0.425431
"services","secondary",0,0.155227,0.000000,0.000000,0.000000,0.566985
"management","secondary",0,0.174631,0.000000,0.000000,0.090433,0.428113
"blue","tertiary",0,0.021344,0.000000,0.000000,0.000000,0.431124
"retired","secondary",0,1.000000,0.000000,0.000000,0.000000,0.454388
"retired","tertiary",0,0.597625,0.000000,0.000000,0.000000,0.430686
"admin","primary",0,0.234781,0.000000,0.000000,0.000000,0.416071
"self","tertiary",0,0.344411,0.000000,0.000000,0.000000,0.405506
"technician","secondary",0,0.218288,0.000000,0.000000,0.090433,0.425431
"technician","secondary",0,0.155227,0.000000,0.000000,0.000000,0.425431
"management","tertiary",0,0.352172,0.000000,0.000000,0.000000,0.425431
"blue","secondary",0,0.258065,0.000000,0.000000,0.000000,0.496099
"management","tertiary",0,0.245453,0.000000,0.000000,0.000000,0.412075
"management","tertiary",0,0.173661,0.000000,0.000000,0.000000,0.425431
"admin","secondary",0,0.763524,0.000000,0.000000,0.000000,0.421271
"technician","secondary",0,0.140675,0.000000,0.000000,0.000000,0.419793
"entrepreneur","tertiary",0,0.168810,0.000000,0.000000,0.000000,0.438732
"management","tertiary",0,0.100898,0.000000,0.000000,0.000000,0.448640
"blue","tertiary",0,0.012612,0.000000,0.000000,0.000000,0.442181
"blue","tertiary",0,0.179482,0.000000,0.000000,0.000000,0.426745
"services","primary",0,1.000000,0.000000,0.000000,0.000000,0.435229
"admin","tertiary",0,0.133884,0.000000,0.000000,0.000000,0.425431
